,VWAP_stmp,VWAP_okcn,VWAP_lmax,VWAP_krkn,VWAP_itbi,VWAP_gmni,VWAP_cbse,VWAP_btrx,VWAP_bnus,VWAP_bfnx,VWAP_bfly,global
2021-02-24 00:00:00,47944.262769916444,47954.73390046822,47880.95891374598,47698.307099988815,47772.25556150348,47981.71150658149,47945.341623582186,47861.25278704692,47846.7630099949,47778.97048220238,48006.99039596898,47882.87585510974
2021-02-24 01:00:00,49220.29973182831,49422.816195686224,49250.83406691843,49179.02687677847,49509.69941976306,49458.079101361385,49317.20137048051,49343.26580534465,49196.187345726816,49441.59293755745,49607.92364495946,49313.3675161897
2021-02-24 02:00:00,50283.555917547485,50218.78680168957,50227.85291221483,50214.50234961793,50260.29489711833,50268.259968106184,50248.89477536312,50264.128119589644,50200.41431446228,50237.00503597023,50196.67730341572,50244.17336125342
2021-02-24 03:00:00,50472.63781650127,50435.24377297291,50458.462794122366,50537.044840685616,50533.80290320645,50494.398639418236,50498.14255772231,50528.68430032978,50523.291434520965,50608.44332510372,50948.0,50513.86512612316
2021-02-24 04:00:00,50987.94170833807,51023.204299288314,50851.638003941225,50917.06083273698,51019.75364047291,50934.95328556313,50942.6465201042,50914.28432772162,50900.7964807991,50889.74329961806,50892.80622948518,50927.85396391688
2021-02-24 05:00:00,50440.12489745783,50399.45761118535,50473.95956278717,50421.09204078947,50416.28159072175,50528.60256969953,50513.98924239403,50537.358939971906,50383.987433823866,50344.15227350981,,50455.60677884732
2021-02-24 06:00:00,49939.78189732182,49940.20773501137,50061.80832816479,49916.10805328075,49907.74736691506,49935.135891147125,49982.46500174615,50033.771901164735,50046.48648711953,49713.51420553466,49978.51163194908,49913.41044184376
2021-02-24 07:00:00,49974.23543802385,50030.40051956286,49996.280195691375,49994.271641249004,49944.96342177203,50034.85894387046,49959.6241690391,50032.96347056737,49861.58115189437,49899.13873565062,49680.1,49962.53969128366
2021-02-24 08:00:00,50594.3944493803,50482.65942981102,50552.860398304074,50545.2167678831,50600.2652665253,50476.88295949771,50541.09069368311,50587.21886543995,50559.88641250617,50629.71853266672,50144.205464073326,50578.670027349406
2021-02-24 09:00:00,50902.708746013974,51005.57058561467,50934.15216528215,50987.73682159017,51014.42756441121,50901.63906990289,50901.001611266845,50947.529892815895,50842.08062786721,50887.43944342996,50884.023714285715,50911.78005479302
2021-02-24 10:00:00,50590.39346404891,50564.53946292953,50514.76969158256,50643.53620764598,50588.05438978995,50494.32425165458,50523.88672136914,50665.39292130094,50515.86745208439,50480.38425373499,50536.602040520986,50534.9813437046
2021-02-24 11:00:00,50480.33847767817,50556.7593046386,50505.688076877945,50523.50157772589,50500.795390058665,50446.87513867019,50498.45521595994,50556.41664047742,50475.338732541255,50494.05213631615,50474.18469788614,50499.32562128646
2021-02-24 12:00:00,50947.57059921597,50921.93471473745,50918.64149813347,50864.09784483364,50956.06736625025,50932.91305973781,50935.79097939279,50907.72952953466,50870.863408262754,50976.88307204613,51228.61636363636,50934.16551103431
2021-02-24 13:00:00,49893.76854023265,49953.170582578554,49827.03550003847,49743.21194640634,49790.02843195161,49750.219363816526,49811.47211934886,49839.7421310204,49783.077635114874,49701.25641097868,49681.73485566664,49799.74000951551
2021-02-24 14:00:00,49236.20029266822,49345.871820260996,49274.40830598385,49223.08528079747,49260.06652489749,49282.04210015556,49293.346463234164,49311.928912469455,49251.72383800201,49233.18858303022,49266.0878502844,49263.84672757125
2021-02-24 15:00:00,49221.75253616327,49288.10639380004,49324.913760803756,49217.787307960934,49062.97912267949,49249.513262315006,49224.85651740555,49280.555708423584,49258.30686311824,49011.131583832976,48785.14592816908,49203.580041644585
2021-02-24 16:00:00,49757.699345070025,49824.6796899463,49755.51820449717,49749.96085967083,49749.26259567807,49720.09421716933,49748.94829880598,49805.93693158663,49765.87831128304,49734.68491181377,49645.483599555635,49750.267317688085
2021-02-24 17:00:00,49847.050542867946,49817.80270968984,49845.112441132354,49842.35009757282,49815.87195290558,49843.673336918444,49813.53499755658,49786.375155463655,49808.544721705875,49788.33850447046,49714.249704052345,49822.59336179755
2021-02-24 18:00:00,49838.0758354932,49797.70999640098,49796.54779073936,49813.098121963376,49791.77254731196,49796.55087907408,49790.6068549284,49797.7415139747,49795.32577938632,49795.62255994675,49602.439024390245,49798.923012590334
2021-02-24 19:00:00,49337.141713596204,49343.11445579556,49317.0717324864,49230.38809664872,49411.32784828966,49204.72546606478,49259.860731840294,49257.819346300486,49355.10962302461,49214.86413230202,49191.60056309439,49268.924507442825
2021-02-24 20:00:00,48927.9073652996,48851.20926842717,48952.60809188711,48964.87122588231,48880.346896428535,48952.988324265556,48922.873466604746,48907.006080445935,48906.47633517543,48895.91194661924,48991.421225154736,48929.22430449358
2021-02-24 21:00:00,48509.78428225979,48451.587572144,48518.46203764825,48499.3806082591,48526.432823930576,48526.69720355337,48476.87821131375,48486.392267975,48485.98060584109,48440.911774133616,48404.5323674021,48487.345485607686
2021-02-24 22:00:00,48580.6333965699,48543.495587545505,48645.530586213266,48540.34638780122,48497.26135680445,48650.56540208859,48579.18068932245,48566.45822810455,48549.9254434703,48531.10398915199,48270.59864702669,48574.602198830915
2021-02-24 23:00:00,49504.55395187703,49568.86066799321,49423.47108691518,49459.90529202536,49493.097790977285,49457.50051789594,49428.97290287861,49488.22486169795,49399.63013406115,49385.7494404447,49610.564199029126,49438.25065729635
